language,subject,popularity_measure,year,month,post_type_id,country,value,date
Python,Summarybigdata,Answers,2015,4,1,,7,2015-04-01
Python,Summarybigdata,Answers,2015,5,1,,8,2015-05-01
Python,Summarybigdata,Answers,2015,5,1,india,1,2015-05-01
Python,Summarybigdata,Answers,2015,6,1,canada,0,2015-06-01
Python,Summarybigdata,Answers,2015,6,1,,12,2015-06-01
Python,Summarybigdata,Answers,2015,7,1,,14,2015-07-01
Python,Summarybigdata,Answers,2015,8,1,invalid,1,2015-08-01
Python,Summarybigdata,Answers,2015,8,1,,2,2015-08-01
Python,Summarybigdata,Answers,2015,8,1,norway,2,2015-08-01
Python,Summarybigdata,Answers,2015,9,1,,10,2015-09-01
Python,Summarybigdata,Answers,2015,9,1,invalid,2,2015-09-01
Python,Summarybigdata,Answers,2015,9,1,united kingdom,7,2015-09-01
Python,Summarybigdata,Answers,2015,9,1,greece,0,2015-09-01
Python,Summarybigdata,Answers,2015,10,1,canada,0,2015-10-01
Python,Summarybigdata,Answers,2015,10,1,,10,2015-10-01
Python,Summarybigdata,Answers,2015,11,1,vietnam,0,2015-11-01
Python,Summarybigdata,Answers,2015,11,1,mozambique,0,2015-11-01
Python,Summarybigdata,Answers,2015,11,1,,12,2015-11-01
Python,Summarybigdata,Answers,2015,11,1,china,2,2015-11-01
Python,Summarybigdata,Answers,2015,12,1,invalid,1,2015-12-01
Python,Summarybigdata,Answers,2015,12,1,,5,2015-12-01
Python,Summarybigdata,Answers,2016,1,1,united states,0,2016-01-01
Python,Summarybigdata,Answers,2016,1,1,united kingdom,1,2016-01-01
Python,Summarybigdata,Answers,2016,1,1,,8,2016-01-01
Python,Summarybigdata,Answers,2016,1,1,argentina,1,2016-01-01
Python,Summarybigdata,Answers,2016,2,1,united kingdom,1,2016-02-01
Python,Summarybigdata,Answers,2016,2,1,,10,2016-02-01
Python,Summarybigdata,Answers,2016,2,1,invalid,2,2016-02-01
Python,Summarybigdata,Answers,2016,3,1,invalid,1,2016-03-01
Python,Summarybigdata,Answers,2016,3,1,,12,2016-03-01
Python,Summarybigdata,Answers,2016,3,1,france,1,2016-03-01
Python,Summarybigdata,Answers,2016,3,1,india,1,2016-03-01
Python,Summarybigdata,Answers,2016,4,1,brazil,1,2016-04-01
Python,Summarybigdata,Answers,2016,4,1,,15,2016-04-01
Python,Summarybigdata,Answers,2016,5,1,,20,2016-05-01
Python,Summarybigdata,Answers,2016,5,1,china,1,2016-05-01
Python,Summarybigdata,Answers,2016,5,1,india,2,2016-05-01
Python,Summarybigdata,Answers,2016,6,1,belize,1,2016-06-01
Python,Summarybigdata,Answers,2016,6,1,,18,2016-06-01
Python,Summarybigdata,Answers,2016,7,1,vietnam,1,2016-07-01
Python,Summarybigdata,Answers,2016,7,1,,10,2016-07-01
Python,Summarybigdata,Answers,2016,8,1,,16,2016-08-01
Python,Summarybigdata,Answers,2016,9,1,,15,2016-09-01
Python,Summarybigdata,Answers,2016,9,1,india,1,2016-09-01
Python,Summarybigdata,Answers,2016,10,1,,9,2016-10-01
Python,Summarybigdata,Answers,2016,11,1,,14,2016-11-01
Python,Summarybigdata,Answers,2016,12,1,,8,2016-12-01
Python,Summarybigdata,Answers,2016,12,1,india,1,2016-12-01
Python,Summarybigdata,Answers,2017,1,1,invalid,1,2017-01-01
Python,Summarybigdata,Answers,2017,1,1,,9,2017-01-01
Python,Summarybigdata,Answers,2017,1,1,australia,2,2017-01-01
Python,Summarybigdata,Answers,2017,2,1,poland,1,2017-02-01
Python,Summarybigdata,Answers,2017,2,1,australia,1,2017-02-01
Python,Summarybigdata,Answers,2017,2,1,,15,2017-02-01
Python,Summarybigdata,Answers,2017,2,1,invalid,1,2017-02-01
Python,Summarybigdata,Answers,2017,3,1,poland,1,2017-03-01
Python,Summarybigdata,Answers,2017,3,1,,15,2017-03-01
Python,Summarybigdata,Answers,2017,4,1,invalid,1,2017-04-01
Python,Summarybigdata,Answers,2017,4,1,germany,1,2017-04-01
Python,Summarybigdata,Answers,2017,4,1,,13,2017-04-01
Python,Summarybigdata,Answers,2017,5,1,,19,2017-05-01
Python,Summarybigdata,Answers,2017,6,1,,12,2017-06-01
Python,Summarybigdata,Answers,2017,6,1,invalid,0,2017-06-01
Python,Summarybigdata,Answers,2017,7,1,,10,2017-07-01
Python,Summarybigdata,Answers,2017,7,1,south africa,1,2017-07-01
Python,Summarybigdata,Answers,2017,8,1,invalid,0,2017-08-01
Python,Summarybigdata,Answers,2017,8,1,,12,2017-08-01
Python,Summarybigdata,Answers,2017,9,1,,7,2017-09-01
Python,Summarybigdata,Answers,2017,9,1,nigeria,0,2017-09-01
Python,Summarybigdata,Answers,2017,9,1,paraguay,2,2017-09-01
Python,Summarybigdata,Answers,2017,10,1,italy,0,2017-10-01
Python,Summarybigdata,Answers,2017,10,1,paraguay,0,2017-10-01
Python,Summarybigdata,Answers,2017,10,1,,12,2017-10-01
Python,Summarybigdata,Answers,2017,11,1,,20,2017-11-01
Python,Summarybigdata,Answers,2017,12,1,,8,2017-12-01
Python,Summarybigdata,Answers,2018,1,1,,9,2018-01-01
Python,Summarybigdata,Answers,2018,1,1,invalid,1,2018-01-01
Python,Summarybigdata,Answers,2018,1,1,canada,1,2018-01-01
Python,Summarybigdata,Answers,2018,2,1,,14,2018-02-01
Python,Summarybigdata,Answers,2018,3,1,,24,2018-03-01
Python,Summarybigdata,Answers,2018,3,1,invalid,1,2018-03-01
Python,Summarybigdata,Answers,2018,3,1,japan,1,2018-03-01
Python,Summarybigdata,Answers,2018,4,1,,10,2018-04-01
Python,Summarybigdata,Answers,2018,4,1,united kingdom,0,2018-04-01
Python,Summarybigdata,Answers,2018,5,1,,12,2018-05-01
Python,Summarybigdata,Answers,2018,5,1,malaysia,3,2018-05-01
Python,Summarybigdata,Answers,2018,5,1,israel,2,2018-05-01
Python,Summarybigdata,Answers,2018,6,1,,3,2018-06-01
Python,Summarybigdata,Answers,2018,7,1,china,1,2018-07-01
Python,Summarybigdata,Answers,2018,7,1,,5,2018-07-01
Python,Summarybigdata,Answers,2018,7,1,germany,1,2018-07-01
Python,Summarybigdata,Answers,2018,8,1,,7,2018-08-01
Python,Summarybigdata,Answers,2018,8,1,united states,1,2018-08-01
Python,Summarybigdata,Answers,2018,8,1,china,0,2018-08-01
Python,Summarybigdata,Answers,2018,9,1,australia,1,2018-09-01
Python,Summarybigdata,Answers,2018,9,1,,10,2018-09-01
Python,Summarybigdata,Answers,2018,9,1,invalid,3,2018-09-01
Python,Summarybigdata,Answers,2018,9,1,japan,1,2018-09-01
Python,Summarybigdata,Answers,2018,9,1,india,1,2018-09-01
Python,Summarybigdata,Answers,2018,10,1,united states,1,2018-10-01
Python,Summarybigdata,Answers,2018,10,1,costa rica,3,2018-10-01
Python,Summarybigdata,Answers,2018,10,1,romania,1,2018-10-01
Python,Summarybigdata,Answers,2018,10,1,india,1,2018-10-01
Python,Summarybigdata,Answers,2018,10,1,,11,2018-10-01
Python,Summarybigdata,Answers,2018,10,1,invalid,2,2018-10-01
Python,Summarybigdata,Ques,2012,2,1,,1,2012-02-01
Python,Summarybigdata,Ques,2012,3,1,,1,2012-03-01
Python,Summarybigdata,Ques,2012,4,1,,1,2012-04-01
Python,Summarybigdata,Ques,2012,5,1,,1,2012-05-01
Python,Summarybigdata,Ques,2012,5,1,india,1,2012-05-01
Python,Summarybigdata,Ques,2012,8,1,,2,2012-08-01
Python,Summarybigdata,Ques,2012,9,1,,1,2012-09-01
Python,Summarybigdata,Ques,2012,10,1,,1,2012-10-01
Python,Summarybigdata,Ques,2012,10,1,invalid,1,2012-10-01
Python,Summarybigdata,Ques,2013,2,1,,3,2013-02-01
Python,Summarybigdata,Ques,2013,2,1,turkey,1,2013-02-01
Python,Summarybigdata,Ques,2013,2,1,invalid,1,2013-02-01
Python,Summarybigdata,Ques,2013,3,1,,4,2013-03-01
Python,Summarybigdata,Ques,2013,4,1,invalid,2,2013-04-01
Python,Summarybigdata,Ques,2013,4,1,,4,2013-04-01
Python,Summarybigdata,Ques,2013,5,1,,1,2013-05-01
Python,Summarybigdata,Ques,2013,6,1,,4,2013-06-01
Python,Summarybigdata,Ques,2013,7,1,,3,2013-07-01
Python,Summarybigdata,Ques,2013,8,1,,1,2013-08-01
Python,Summarybigdata,Ques,2013,9,1,,5,2013-09-01
Python,Summarybigdata,Ques,2013,9,1,turkey,1,2013-09-01
Python,Summarybigdata,Ques,2013,10,1,,9,2013-10-01
Python,Summarybigdata,Ques,2013,11,1,invalid,1,2013-11-01
Python,Summarybigdata,Ques,2013,11,1,,3,2013-11-01
Python,Summarybigdata,Ques,2013,12,1,denmark,1,2013-12-01
Python,Summarybigdata,Ques,2013,12,1,,1,2013-12-01
Python,Summarybigdata,Ques,2014,1,1,,3,2014-01-01
Python,Summarybigdata,Ques,2014,2,1,,5,2014-02-01
Python,Summarybigdata,Ques,2014,3,1,,3,2014-03-01
Python,Summarybigdata,Ques,2014,4,1,russia,1,2014-04-01
Python,Summarybigdata,Ques,2014,4,1,,6,2014-04-01
Python,Summarybigdata,Ques,2014,5,1,,3,2014-05-01
Python,Summarybigdata,Ques,2014,6,1,,1,2014-06-01
Python,Summarybigdata,Ques,2014,7,1,united states,1,2014-07-01
Python,Summarybigdata,Ques,2014,7,1,,7,2014-07-01
Python,Summarybigdata,Ques,2014,7,1,invalid,1,2014-07-01
Python,Summarybigdata,Ques,2014,8,1,united kingdom,1,2014-08-01
Python,Summarybigdata,Ques,2014,8,1,india,1,2014-08-01
Python,Summarybigdata,Ques,2014,8,1,israel,1,2014-08-01
Python,Summarybigdata,Ques,2014,8,1,,6,2014-08-01
Python,Summarybigdata,Ques,2014,9,1,,8,2014-09-01
Python,Summarybigdata,Ques,2014,10,1,,5,2014-10-01
Python,Summarybigdata,Ques,2014,11,1,,14,2014-11-01
Python,Summarybigdata,Ques,2014,12,1,invalid,1,2014-12-01
Python,Summarybigdata,Ques,2014,12,1,,1,2014-12-01
Python,Summarybigdata,Ques,2014,12,1,india,1,2014-12-01
Python,Summarybigdata,Ques,2015,1,1,,1,2015-01-01
Python,Summarybigdata,Ques,2015,1,1,invalid,1,2015-01-01
Python,Summarybigdata,Ques,2015,2,1,invalid,1,2015-02-01
Python,Summarybigdata,Ques,2015,2,1,,6,2015-02-01
Python,Summarybigdata,Ques,2015,3,1,,4,2015-03-01
Python,Summarybigdata,Ques,2015,4,1,invalid,2,2015-04-01
Python,Summarybigdata,Ques,2015,4,1,,5,2015-04-01
Python,Summarybigdata,Ques,2015,5,1,,6,2015-05-01
Python,Summarybigdata,Ques,2015,5,1,india,1,2015-05-01
Python,Summarybigdata,Ques,2015,6,1,,7,2015-06-01
Python,Summarybigdata,Ques,2015,6,1,canada,1,2015-06-01
Python,Summarybigdata,Ques,2015,7,1,,8,2015-07-01
Python,Summarybigdata,Ques,2015,8,1,,4,2015-08-01
Python,Summarybigdata,Ques,2015,8,1,norway,1,2015-08-01
Python,Summarybigdata,Ques,2015,8,1,invalid,1,2015-08-01
Python,Summarybigdata,Ques,2015,9,1,invalid,1,2015-09-01
Python,Summarybigdata,Ques,2015,9,1,greece,1,2015-09-01
Python,Summarybigdata,Ques,2015,9,1,united kingdom,1,2015-09-01
Python,Summarybigdata,Ques,2015,9,1,,7,2015-09-01
Python,Summarybigdata,Ques,2015,10,1,canada,1,2015-10-01
Python,Summarybigdata,Ques,2015,10,1,,8,2015-10-01
Python,Summarybigdata,Ques,2015,11,1,,9,2015-11-01
Python,Summarybigdata,Ques,2015,11,1,china,1,2015-11-01
Python,Summarybigdata,Ques,2015,11,1,vietnam,1,2015-11-01
Python,Summarybigdata,Ques,2015,11,1,mozambique,1,2015-11-01
Python,Summarybigdata,Ques,2015,12,1,,5,2015-12-01
Python,Summarybigdata,Ques,2015,12,1,invalid,1,2015-12-01
Python,Summarybigdata,Ques,2016,1,1,united kingdom,1,2016-01-01
Python,Summarybigdata,Ques,2016,1,1,united states,1,2016-01-01
Python,Summarybigdata,Ques,2016,1,1,,8,2016-01-01
Python,Summarybigdata,Ques,2016,1,1,argentina,1,2016-01-01
Python,Summarybigdata,Ques,2016,2,1,united kingdom,1,2016-02-01
Python,Summarybigdata,Ques,2016,2,1,invalid,1,2016-02-01
Python,Summarybigdata,Ques,2016,2,1,,7,2016-02-01
Python,Summarybigdata,Ques,2016,3,1,,11,2016-03-01
Python,Summarybigdata,Ques,2016,3,1,france,1,2016-03-01
Python,Summarybigdata,Ques,2016,3,1,invalid,1,2016-03-01
Python,Summarybigdata,Ques,2016,3,1,india,1,2016-03-01
Python,Summarybigdata,Ques,2016,4,1,,13,2016-04-01
Python,Summarybigdata,Ques,2016,4,1,brazil,1,2016-04-01
Python,Summarybigdata,Ques,2016,5,1,india,2,2016-05-01
Python,Summarybigdata,Ques,2016,5,1,china,1,2016-05-01
Python,Summarybigdata,Ques,2016,5,1,,13,2016-05-01
Python,Summarybigdata,Ques,2016,6,1,belize,1,2016-06-01
Python,Summarybigdata,Ques,2016,6,1,,19,2016-06-01
Python,Summarybigdata,Ques,2016,7,1,vietnam,1,2016-07-01
Python,Summarybigdata,Ques,2016,7,1,,10,2016-07-01
Python,Summarybigdata,Ques,2016,8,1,,12,2016-08-01
Python,Summarybigdata,Ques,2016,9,1,india,1,2016-09-01
Python,Summarybigdata,Ques,2016,9,1,,12,2016-09-01
Python,Summarybigdata,Ques,2016,10,1,,6,2016-10-01
Python,Summarybigdata,Ques,2016,11,1,,13,2016-11-01
Python,Summarybigdata,Ques,2016,12,1,,5,2016-12-01
Python,Summarybigdata,Ques,2016,12,1,india,1,2016-12-01
Python,Summarybigdata,Ques,2017,1,1,australia,1,2017-01-01
Python,Summarybigdata,Ques,2017,1,1,,7,2017-01-01
Python,Summarybigdata,Ques,2017,1,1,invalid,1,2017-01-01
Python,Summarybigdata,Ques,2017,2,1,australia,1,2017-02-01
Python,Summarybigdata,Ques,2017,2,1,poland,1,2017-02-01
Python,Summarybigdata,Ques,2017,2,1,,11,2017-02-01
Python,Summarybigdata,Ques,2017,2,1,invalid,1,2017-02-01
Python,Summarybigdata,Ques,2017,3,1,,14,2017-03-01
Python,Summarybigdata,Ques,2017,3,1,poland,1,2017-03-01
Python,Summarybigdata,Ques,2017,4,1,germany,1,2017-04-01
Python,Summarybigdata,Ques,2017,4,1,,12,2017-04-01
Python,Summarybigdata,Ques,2017,4,1,invalid,1,2017-04-01
Python,Summarybigdata,Ques,2017,5,1,,17,2017-05-01
Python,Summarybigdata,Ques,2017,6,1,invalid,1,2017-06-01
Python,Summarybigdata,Ques,2017,6,1,,12,2017-06-01
Python,Summarybigdata,Ques,2017,7,1,,8,2017-07-01
Python,Summarybigdata,Ques,2017,7,1,south africa,1,2017-07-01
Python,Summarybigdata,Ques,2017,8,1,,16,2017-08-01
Python,Summarybigdata,Ques,2017,8,1,invalid,1,2017-08-01
Python,Summarybigdata,Ques,2017,9,1,,6,2017-09-01
Python,Summarybigdata,Ques,2017,9,1,nigeria,1,2017-09-01
Python,Summarybigdata,Ques,2017,9,1,paraguay,2,2017-09-01
Python,Summarybigdata,Ques,2017,10,1,paraguay,1,2017-10-01
Python,Summarybigdata,Ques,2017,10,1,italy,1,2017-10-01
Python,Summarybigdata,Ques,2017,10,1,,11,2017-10-01
Python,Summarybigdata,Ques,2017,11,1,,17,2017-11-01
Python,Summarybigdata,Ques,2017,12,1,,8,2017-12-01
Python,Summarybigdata,Ques,2018,1,1,invalid,1,2018-01-01
Python,Summarybigdata,Ques,2018,1,1,,11,2018-01-01
Python,Summarybigdata,Ques,2018,1,1,canada,1,2018-01-01
Python,Summarybigdata,Ques,2018,2,1,,13,2018-02-01
Python,Summarybigdata,Ques,2018,3,1,japan,1,2018-03-01
Python,Summarybigdata,Ques,2018,3,1,,15,2018-03-01
Python,Summarybigdata,Ques,2018,3,1,invalid,1,2018-03-01
Python,Summarybigdata,Ques,2018,4,1,united kingdom,1,2018-04-01
Python,Summarybigdata,Ques,2018,4,1,,10,2018-04-01
Python,Summarybigdata,Ques,2018,5,1,malaysia,2,2018-05-01
Python,Summarybigdata,Ques,2018,5,1,israel,1,2018-05-01
Python,Summarybigdata,Ques,2018,5,1,,14,2018-05-01
Python,Summarybigdata,Ques,2018,6,1,,6,2018-06-01
Python,Summarybigdata,Ques,2018,7,1,germany,1,2018-07-01
Python,Summarybigdata,Ques,2018,7,1,,9,2018-07-01
Python,Summarybigdata,Ques,2018,7,1,china,1,2018-07-01
Python,Summarybigdata,Ques,2018,8,1,,11,2018-08-01
Python,Summarybigdata,Ques,2018,8,1,china,1,2018-08-01
Python,Summarybigdata,Ques,2018,8,1,united states,1,2018-08-01
Python,Summarybigdata,Ques,2018,9,1,invalid,3,2018-09-01
Python,Summarybigdata,Ques,2018,9,1,australia,1,2018-09-01
Python,Summarybigdata,Ques,2018,9,1,japan,1,2018-09-01
Python,Summarybigdata,Ques,2018,9,1,,10,2018-09-01
Python,Summarybigdata,Ques,2018,9,1,india,1,2018-09-01
Python,Summarybigdata,Ques,2018,10,1,invalid,1,2018-10-01
Python,Summarybigdata,Ques,2018,10,1,united states,1,2018-10-01
Python,Summarybigdata,Ques,2018,10,1,costa rica,1,2018-10-01
Python,Summarybigdata,Ques,2018,10,1,,10,2018-10-01
Python,Summarybigdata,Ques,2018,10,1,romania,1,2018-10-01
Python,Summarybigdata,Ques,2018,10,1,india,1,2018-10-01
Python,Summarybigdata,Score,2012,2,1,,0,2012-02-01
Python,Summarybigdata,Score,2012,3,1,,2,2012-03-01
Python,Summarybigdata,Score,2012,4,1,,2,2012-04-01
Python,Summarybigdata,Score,2012,5,1,,0,2012-05-01
Python,Summarybigdata,Score,2012,5,1,india,2,2012-05-01
Python,Summarybigdata,Score,2012,8,1,,6,2012-08-01
Python,Summarybigdata,Score,2012,9,1,,2,2012-09-01
Python,Summarybigdata,Score,2012,10,1,,1,2012-10-01
Python,Summarybigdata,Score,2012,10,1,invalid,3,2012-10-01
Python,Summarybigdata,Score,2013,2,1,,4,2013-02-01
Python,Summarybigdata,Score,2013,2,1,invalid,0,2013-02-01
Python,Summarybigdata,Score,2013,2,1,turkey,8,2013-02-01
Python,Summarybigdata,Score,2013,3,1,,4,2013-03-01
Python,Summarybigdata,Score,2013,4,1,,34,2013-04-01
Python,Summarybigdata,Score,2013,4,1,invalid,1,2013-04-01
Python,Summarybigdata,Score,2013,5,1,,0,2013-05-01
Python,Summarybigdata,Score,2013,6,1,,6,2013-06-01
Python,Summarybigdata,Score,2013,7,1,,3,2013-07-01
Python,Summarybigdata,Score,2013,8,1,,21,2013-08-01
Python,Summarybigdata,Score,2013,9,1,,3,2013-09-01
Python,Summarybigdata,Score,2013,9,1,turkey,0,2013-09-01
Python,Summarybigdata,Score,2013,10,1,,17,2013-10-01
Python,Summarybigdata,Score,2013,11,1,invalid,1,2013-11-01
Python,Summarybigdata,Score,2013,11,1,,2,2013-11-01
Python,Summarybigdata,Score,2013,12,1,denmark,0,2013-12-01
Python,Summarybigdata,Score,2013,12,1,,0,2013-12-01
Python,Summarybigdata,Score,2014,1,1,,3,2014-01-01
Python,Summarybigdata,Score,2014,2,1,,9,2014-02-01
Python,Summarybigdata,Score,2014,3,1,,3,2014-03-01
Python,Summarybigdata,Score,2014,4,1,,4,2014-04-01
Python,Summarybigdata,Score,2014,4,1,russia,1,2014-04-01
Python,Summarybigdata,Score,2014,5,1,,29,2014-05-01
Python,Summarybigdata,Score,2014,6,1,,2,2014-06-01
Python,Summarybigdata,Score,2014,7,1,united states,1,2014-07-01
Python,Summarybigdata,Score,2014,7,1,,13,2014-07-01
Python,Summarybigdata,Score,2014,7,1,invalid,-2,2014-07-01
Python,Summarybigdata,Score,2014,8,1,,12,2014-08-01
Python,Summarybigdata,Score,2014,8,1,india,2,2014-08-01
Python,Summarybigdata,Score,2014,8,1,united kingdom,4,2014-08-01
Python,Summarybigdata,Score,2014,8,1,israel,-2,2014-08-01
Python,Summarybigdata,Score,2014,9,1,,4,2014-09-01
Python,Summarybigdata,Score,2014,10,1,,6,2014-10-01
Python,Summarybigdata,Score,2014,11,1,,41,2014-11-01
Python,Summarybigdata,Score,2014,12,1,india,0,2014-12-01
Python,Summarybigdata,Score,2014,12,1,,0,2014-12-01
Python,Summarybigdata,Score,2014,12,1,invalid,1,2014-12-01
Python,Summarybigdata,Score,2015,1,1,invalid,1,2015-01-01
Python,Summarybigdata,Score,2015,1,1,,5,2015-01-01
Python,Summarybigdata,Score,2015,2,1,invalid,0,2015-02-01
Python,Summarybigdata,Score,2015,2,1,,10,2015-02-01
Python,Summarybigdata,Score,2015,3,1,,8,2015-03-01
Python,Summarybigdata,Score,2015,4,1,invalid,9,2015-04-01
Python,Summarybigdata,Score,2015,4,1,,22,2015-04-01
Python,Summarybigdata,Score,2015,5,1,india,0,2015-05-01
Python,Summarybigdata,Score,2015,5,1,,5,2015-05-01
Python,Summarybigdata,Score,2015,6,1,,7,2015-06-01
Python,Summarybigdata,Score,2015,6,1,canada,3,2015-06-01
Python,Summarybigdata,Score,2015,7,1,,11,2015-07-01
Python,Summarybigdata,Score,2015,8,1,norway,4,2015-08-01
Python,Summarybigdata,Score,2015,8,1,invalid,6,2015-08-01
Python,Summarybigdata,Score,2015,8,1,,6,2015-08-01
Python,Summarybigdata,Score,2015,9,1,greece,2,2015-09-01
Python,Summarybigdata,Score,2015,9,1,,17,2015-09-01
Python,Summarybigdata,Score,2015,9,1,united kingdom,7,2015-09-01
Python,Summarybigdata,Score,2015,9,1,invalid,4,2015-09-01
Python,Summarybigdata,Score,2015,10,1,,9,2015-10-01
Python,Summarybigdata,Score,2015,10,1,canada,0,2015-10-01
Python,Summarybigdata,Score,2015,11,1,,21,2015-11-01
Python,Summarybigdata,Score,2015,11,1,china,2,2015-11-01
Python,Summarybigdata,Score,2015,11,1,mozambique,0,2015-11-01
Python,Summarybigdata,Score,2015,11,1,vietnam,2,2015-11-01
Python,Summarybigdata,Score,2015,12,1,,6,2015-12-01
Python,Summarybigdata,Score,2015,12,1,invalid,0,2015-12-01
Python,Summarybigdata,Score,2016,1,1,united kingdom,0,2016-01-01
Python,Summarybigdata,Score,2016,1,1,,14,2016-01-01
Python,Summarybigdata,Score,2016,1,1,united states,0,2016-01-01
Python,Summarybigdata,Score,2016,1,1,argentina,2,2016-01-01
Python,Summarybigdata,Score,2016,2,1,united kingdom,2,2016-02-01
Python,Summarybigdata,Score,2016,2,1,,2,2016-02-01
Python,Summarybigdata,Score,2016,2,1,invalid,5,2016-02-01
Python,Summarybigdata,Score,2016,3,1,france,2,2016-03-01
Python,Summarybigdata,Score,2016,3,1,india,1,2016-03-01
Python,Summarybigdata,Score,2016,3,1,invalid,1,2016-03-01
Python,Summarybigdata,Score,2016,3,1,,14,2016-03-01
Python,Summarybigdata,Score,2016,4,1,,35,2016-04-01
Python,Summarybigdata,Score,2016,4,1,brazil,0,2016-04-01
Python,Summarybigdata,Score,2016,5,1,china,0,2016-05-01
Python,Summarybigdata,Score,2016,5,1,india,3,2016-05-01
Python,Summarybigdata,Score,2016,5,1,,16,2016-05-01
Python,Summarybigdata,Score,2016,6,1,belize,0,2016-06-01
Python,Summarybigdata,Score,2016,6,1,,7,2016-06-01
Python,Summarybigdata,Score,2016,7,1,,10,2016-07-01
Python,Summarybigdata,Score,2016,7,1,vietnam,0,2016-07-01
Python,Summarybigdata,Score,2016,8,1,,72,2016-08-01
Python,Summarybigdata,Score,2016,9,1,,19,2016-09-01
Python,Summarybigdata,Score,2016,9,1,india,0,2016-09-01
Python,Summarybigdata,Score,2016,10,1,,8,2016-10-01
Python,Summarybigdata,Score,2016,11,1,,14,2016-11-01
Python,Summarybigdata,Score,2016,12,1,india,0,2016-12-01
Python,Summarybigdata,Score,2016,12,1,,4,2016-12-01
Python,Summarybigdata,Score,2017,1,1,,16,2017-01-01
Python,Summarybigdata,Score,2017,1,1,invalid,1,2017-01-01
Python,Summarybigdata,Score,2017,1,1,australia,3,2017-01-01
Python,Summarybigdata,Score,2017,2,1,,7,2017-02-01
Python,Summarybigdata,Score,2017,2,1,australia,0,2017-02-01
Python,Summarybigdata,Score,2017,2,1,invalid,0,2017-02-01
Python,Summarybigdata,Score,2017,2,1,poland,0,2017-02-01
Python,Summarybigdata,Score,2017,3,1,,6,2017-03-01
